Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_Disc_D4.3mm_W1.9mm_P5.00mm,2,10u,
"D1, D2",D_DO-41_SOD81_P10.16mm_Horizontal,2,1N5817,
J1,CUI_SJ1-3525N,1,SJ1-3525N,
J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Socket,
J3,PinHeader_1x02_P2.54mm_Vertical,1,ChargerBoard,
J4,PinHeader_1x02_P2.54mm_Vertical,1,BatteryConnector,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,47k,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10k,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,2.2k,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1k,
R6,0603,1,10k,
R7,POT_PV36W_BRN,1,PV36W502C01B00,
SW1,SW_SPST_B3U-3000P,1,SW_Push,
U1,LED_SCREEN096,1,DM-OLED096-636,
U2,DIP-8_W7.62mm,1,TL072,
U5,Teensy40,1,Teensy4.0,
