Designator,Mid X,Mid Y,Rotation,Layer
C1,173.75,-74.5,90.0,top
C2,166.25,-52.75,0.0,top
D1,155.75,-64.25,270.0,top
D2,159.0,-64.25,90.0,top
J1,184.896,-64.75,90.0,top
J2,181.725,-50.25,180.0,bottom
R1,184.75,-57.0,180.0,top
R2,173.5,-65.81,90.0,top
R3,166.25,-59.0,180.0,top
R4,166.25,-55.75,180.0,top
R5,166.94,-73.0,180.0,top
R6,151.425,-54.25,0.0,bottom
R7,150.21,-75.75,180.0,top
SW1,154.0,-48.25,90.0,bottom
U1,131.66,-64.14,0.0,top
U2,166.19,-65.81,90.0,top
U5,136.55,-64.0,180.0,bottom
